영업상태명,영업상태코드,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
폐업,3,폐업,2003-12-31,서울특별시 용산구 후암동 255-24번지 ,,양자강,중국식,198048.468436442,449318.924380443
폐업,3,폐업,2012-06-01,서울특별시 용산구 후암동 380-0번지 (지상1층) ,,경화옥,한식,198204.783162074,449506.945761702
폐업,3,폐업,2001-09-07,서울특별시 용산구 한남동 115-1번지 ,,남경,중국식,200624.747166374,447634.257645514
폐업,3,폐업,2009-04-27,서울특별시 용산구 이태원동 20-5번지 (지상1/2층) ,,삼화루,중국식,199642.109859134,447696.766600747
폐업,3,폐업,2006-06-09,서울특별시 용산구 한남동 94-1번지 ,,한남집,한식,,
폐업,3,폐업,2011-05-27,서울특별시 용산구 이태원동 141-16번지 (지상1층) ,,대흥정육점식당,한식,199521.766839415,447853.205447184
폐업,3,폐업,2008-07-17,서울특별시 용산구 한남동 657-89번지 (지상1층) ,,양지팜,한식,200460.554296253,447907.836283002
폐업,3,폐업,2002-01-31,서울특별시 용산구 이태원동 258-6번지 ,,아리산,중국식,199603.469663441,448677.515136489
폐업,3,폐업,2009-05-11,서울특별시 용산구 이태원동 260-199번지 (지하1층) ,,남산체육크럽식당,한식,199214.10239741,448891.794439538
영업/정상,1,영업,,서울특별시 용산구 이태원동 243-37번지 ,서울특별시 용산구 회나무로44길 46 (이태원동),소정관,중국식,199509.309167366,448585.531285101
폐업,3,폐업,2009-06-02,서울특별시 용산구 한남동 639-8번지 (지상2층) ,,삼풍반점,중국식,200335.901369821,447885.892491197
폐업,3,폐업,2000-12-13,서울특별시 용산구 후암동 103-17번지 ,,두리,경양식,197824.182883281,449747.973114335
폐업,3,폐업,2012-03-21,서울특별시 용산구 이태원동 59-3번지 (지상2층) ,,동아장,중국식,199111.496938021,447931.90505289
폐업,3,폐업,2000-02-02,서울특별시 용산구 청파동3가 18-2번지 ,,거북집,한식,197312.700412284,449142.82137281
폐업,3,폐업,2002-02-28,서울특별시 용산구 한남동 657-96번지 ,,자매,한식,200461.080412482,447986.948394684
폐업,3,폐업,2000-02-26,서울특별시 용산구 후암동 116-27번지 ,,거목,한식,197765.09398681,449766.499345037
폐업,3,폐업,2000-06-12,서울특별시 용산구 한남동 744-29번지 ,,한남복집,한식,199904.303605091,448312.25064609
폐업,3,폐업,2007-08-20,서울특별시 용산구 한남동 634-14번지 (지하1층) ,,한남골,한식,200485.165565347,447919.13100893
폐업,3,폐업,2010-03-22,서울특별시 용산구 한남동 739-6번지 ,,털보,한식,200010.221274642,448392.192147345
폐업,3,폐업,2010-12-30,서울특별시 용산구 한남동 657-85번지 (지상1층) ,,제주황토골흑돼지,한식,200476.280411977,447983.133186533
영업/정상,1,영업,,서울특별시 용산구 한남동 94-8번지 (지상1층) ,,할머니네집,한식,,
폐업,3,폐업,2010-02-04,서울특별시 용산구 한남동 94-8번지 (지상1층) ,,한일집,한식,,
폐업,3,폐업,2003-10-13,서울특별시 용산구 한남동 78-10번지 ,,좋은친구,한식,200514.811794271,447903.472221826
폐업,3,폐업,2007-02-09,서울특별시 용산구 효창동 산 1-1번지 ,,삼미정,한식,,
폐업,3,폐업,2000-03-04,서울특별시 용산구 한남동 644-5번지 ,,우성설렁탕,한식,200312.987736585,447877.773387698
폐업,3,폐업,2000-06-01,서울특별시 용산구 후암동 77-0번지 ,,포석정,한식,197888.975857239,449851.254349505
폐업,3,폐업,2013-11-07,서울특별시 용산구 이태원동 34-69번지 (지상1층) ,,크라운호텔한식당,한식,199118.176847228,447688.4883026
폐업,3,폐업,2000-02-22,서울특별시 용산구 이태원동 132-7번지 ,,죠니식당,경양식,199524.093927707,447902.280598469
폐업,3,폐업,2000-03-13,서울특별시 용산구 이태원동 34-150번지 ,,길옆,경양식,199147.936611437,447607.766921921
폐업,3,폐업,2008-11-12,서울특별시 용산구 한남동 32-17번지 (지상1층) ,,1955,한식,200837.136549128,448057.231929995
폐업,3,폐업,2002-04-01,서울특별시 용산구 한남동 641-9번지 ,,명동김밥전문점,분식,200411.481454774,447807.868978906
폐업,3,폐업,2005-09-13,서울특별시 용산구 한남동 737-37번지 ,,다래원,한식,199678.685128404,448086.564575334
폐업,3,폐업,2007-02-27,서울특별시 용산구 이태원동 137-26번지 (지상1층) ,,한일각,중국식,199637.031612569,447922.519432516
폐업,3,폐업,2002-12-31,서울특별시 용산구 한남동 102-4번지 ,,해와달,경양식,200626.06966197,447667.893784916
폐업,3,폐업,2006-01-09,서울특별시 용산구 한남동 29-14번지 ,,사꾸라,한식,200743.543180415,448009.323339877
폐업,3,폐업,2000-02-22,서울특별시 용산구 이태원동 137-8번지 ,,아리랑,경양식,199554.378391394,447915.516566108
폐업,3,폐업,2005-12-27,서울특별시 용산구 이태원동 127-22번지 ,,한서2호,경양식,199506.018811524,447987.235079236
폐업,3,폐업,2009-04-27,서울특별시 용산구 한남동 696-3번지 (지상1층) ,,해성각,중국식,200235.11483756,448382.312767015
폐업,3,폐업,2009-11-23,서울특별시 용산구 이태원동 128-2번지 (지상2층) ,,아서원,중국식,199365.013508795,448003.803115814
폐업,3,폐업,2009-11-03,서울특별시 용산구 한남동 634-1번지 (지상1층) ,,푸드2900용산한남점,한식,200474.642401344,447910.493993112
폐업,3,폐업,2002-01-31,서울특별시 용산구 이태원동 131-24번지 ,,플라워호프,분식,199436.076857291,447908.530345545
영업/정상,1,영업,,서울특별시 용산구 청파동3가 15-4번지 (지상1층) ,서울특별시 용산구 청파로47길 5 (청파동3가),신선 낙지,한식,,
폐업,3,폐업,2001-09-27,서울특별시 용산구 청파동1가 47-4번지 ,,투다리,한식,197220.796386059,449701.871965265
폐업,3,폐업,2009-02-23,서울특별시 용산구 한남동 68-3번지 (지하1층) ,,한서22호,한식,200666.754469416,448074.580667737
폐업,3,폐업,2005-05-17,서울특별시 용산구 이태원동 126-1번지 ,,원모츄라이,한식,199650.500239024,448011.48537122
폐업,3,폐업,2001-09-18,서울특별시 용산구 이태원동 137-56번지 ,,캐빈,경양식,199549.746324061,447884.840706788
폐업,3,폐업,2009-04-20,서울특별시 용산구 청파동3가 26-15번지 (지하1층) ,,갸또,한식,197261.812306433,449108.448638711
폐업,3,폐업,2000-07-19,서울특별시 용산구 청파동2가 104-1번지 ,,은빛모래,경양식,197284.684293541,449358.418819969
폐업,3,폐업,2006-05-10,서울특별시 용산구 이태원동 126-7번지 ,,녹색집,경양식,199602.998335774,448000.622353627
폐업,3,폐업,2005-05-02,서울특별시 용산구 이태원동 104-4번지 ,,샬레스위스청지기유통,한식,199419.748865351,448160.961206412
폐업,3,폐업,2006-01-12,서울특별시 용산구 한남동 75-1번지 ,,태백,경양식,200615.216937054,447954.4422017
폐업,3,폐업,2003-03-11,서울특별시 용산구 이태원동 676-0번지 ,,타임호프,분식,198782.231400491,448416.001116402
폐업,3,폐업,2004-01-14,서울특별시 용산구 한남동 758-36번지 ,,피기치킨뱅이,한식,200005.091288484,447741.994035132
폐업,3,폐업,2008-07-17,서울특별시 용산구 한남동 94-8번지 (지상1층) ,,왕갈비,한식,,
폐업,3,폐업,2000-06-09,서울특별시 용산구 이태원동 6-13번지 ,,송원,한식,199586.358517968,448665.29811838
영업/정상,1,영업,,서울특별시 용산구 한남동 85-4번지 (지상1층) ,서울특별시 용산구 대사관로34길 11 (한남동),화포식당 한남점,한식,200490.587951468,447835.866966488
폐업,3,폐업,2003-09-01,서울특별시 용산구 청파동2가 94-0번지 ,,청파갈비,한식,197288.92631622,449246.311968481
폐업,3,폐업,2009-01-28,서울특별시 용산구 한남동 639-6번지 (지상1층) ,,호남집(한식),한식,200414.028528517,447821.264642166
폐업,3,폐업,2023-04-27,서울특별시 용산구 청파동1가 141-2 (지상1층) ,,청파생고기식당,한식,197248.68790889,449698.992716897
폐업,3,폐업,2000-11-13,서울특별시 용산구 후암동 244-35번지 ,,성은회관,한식,197955.818770494,449718.054471759
폐업,3,폐업,2013-06-11,서울특별시 용산구 한남동 657-113번지 (지층) ,,삼정식당,한식,,
폐업,3,폐업,2008-12-08,서울특별시 용산구 이태원동 118-34번지 (지상3.4층) ,,뽀빠이집,한식,199254.600051379,447997.229185728
폐업,3,폐업,2004-12-23,서울특별시 용산구 한남동 73-1번지 ,,신돈쥬앙,경양식,200648.083568414,447977.815917264
폐업,3,폐업,2005-01-06,서울특별시 용산구 한남동 4-7번지 ,,힐사이드,한식,200955.892430557,448262.752932404
폐업,3,폐업,2007-08-16,서울특별시 용산구 한남동 73-1번지 (지상1층) ,,고바우식당,경양식,200648.083568414,447977.815917264
폐업,3,폐업,2007-01-16,서울특별시 용산구 한남동 763-16번지 ,,대성반점,중국식,199784.889486533,447836.625840704
폐업,3,폐업,2011-10-14,서울특별시 용산구 한남동 683-136번지 (지하1층) ,,선화루,중국식,200062.786736031,448382.408601901
폐업,3,폐업,2001-11-05,서울특별시 용산구 한남동 657-106번지 ,,그 린,분식,200397.209931802,447917.111194101
폐업,3,폐업,2006-03-30,서울특별시 용산구 후암동 103-3번지 ,,복운,분식,197869.945408104,449752.83035093
폐업,3,폐업,2003-11-22,서울특별시 용산구 한남동 738-16번지 ,,자연은우리시골밥상,한식,199872.298893595,448217.021355228
폐업,3,폐업,2004-08-31,서울특별시 용산구 이태원동 706번지 707 ,,부산자갈치꼼장어,한식,,
폐업,3,폐업,2010-12-09,서울특별시 용산구 한남동 51-3번지 (지상1층) ,,하얀식당,한식,,
폐업,3,폐업,2009-12-15,서울특별시 용산구 한남동 28-11번지 (지상1층) ,,하이힐,한식,200824.55933234,448002.737790969
폐업,3,폐업,2007-07-11,서울특별시 용산구 후암동 262-2번지 (지상1층) ,,후암장,한식,198242.104958513,449393.674221303
폐업,3,폐업,2001-01-31,서울특별시 용산구 청파동1가 154-13번지 ,,청솔,한식,197298.319591868,449617.008152704
폐업,3,폐업,2000-10-24,서울특별시 용산구 청파동1가 154-3번지 ,,길목호프,한식,197293.15786155,449655.805324897
폐업,3,폐업,2007-10-25,서울특별시 용산구 한남동 657-95번지 (지상2층) ,,피쉬앤그릴,한식,200473.381035472,447965.743065212
폐업,3,폐업,2002-01-24,서울특별시 용산구 이태원동 130-3번지 ,,함지,한식,199375.16716008,447957.980029766
폐업,3,폐업,2013-12-12,서울특별시 용산구 이태원동 131-1번지 (지상1층) ,,토크쇼,호프/통닭,199479.867579399,447959.377771416
폐업,3,폐업,2009-06-10,서울특별시 용산구 이태원동 127-12번지 (지상5층) ,,창공경양식,한식,199418.872281429,448001.848057577
폐업,3,폐업,2004-10-04,서울특별시 용산구 청파동2가 41-18번지 ,,어게인(again),한식,197028.106967254,449267.86140604
폐업,3,폐업,2011-02-25,서울특별시 용산구 한남동 653-1번지 (지상1층) ,,취룡,중국식,200270.981734911,447892.865925447
폐업,3,폐업,2004-09-06,서울특별시 용산구 이태원동 119-24번지 ,,달글러쉬,한식,199362.51518342,448070.485388482
폐업,3,폐업,2005-08-29,서울특별시 용산구 한남동 683-136번지 ,,람세스,경양식,200062.786736031,448382.408601901
폐업,3,폐업,2005-12-23,서울특별시 용산구 한남동 657-84번지 ,,일피노,경양식,200463.324551786,448012.534305961
폐업,3,폐업,2004-11-17,서울특별시 용산구 후암동 249-31번지 ,,빙점,경양식,198025.978428858,449404.083790859
폐업,3,폐업,2005-06-24,서울특별시 용산구 청파동3가 84-4번지 ,,푸른분식,분식,197327.557177944,448905.518929602
폐업,3,폐업,2001-10-06,서울특별시 용산구 한남동 68-3번지 ,,단대리아,분식,200666.754469416,448074.580667737
폐업,3,폐업,2009-03-09,서울특별시 용산구 이태원동 127-13번지 (지상1층) ,,진미분식,분식,199432.697923674,447981.941090987
영업/정상,1,영업,,서울특별시 용산구 한남동 726-63번지 (지상1층) ,,예원,한식,,
폐업,3,폐업,2012-06-07,서울특별시 용산구 청파동3가 17-2번지 (지상1층) ,,양평매운탕,한식,197313.493257803,449153.689331427
폐업,3,폐업,2005-09-05,서울특별시 용산구 한남동 657-114번지 ,,은정식당,한식,200414.314339382,447967.300929192
폐업,3,폐업,2012-11-07,서울특별시 용산구 한남동 743-31번지 (지상1층) ,,지호(한남점),한식,199913.492960569,448345.373477623
폐업,3,폐업,2021-12-22,서울특별시 용산구 한남동 657-174 ,서울특별시 용산구 대사관로31길 29 (한남동),청기와미래회관,한식,200444.209953462,448044.602527879
폐업,3,폐업,2009-05-20,서울특별시 용산구 효창동 5-293번지 (지상1층) ,,코끼리분식,한식,,
폐업,3,폐업,2001-04-04,서울특별시 용산구 후암동 105-180번지 ,,창익집,한식,197897.03001154,449754.014241586
폐업,3,폐업,2002-06-12,서울특별시 용산구 이태원동 137-56번지 ,,오비목장,경양식,199549.746324061,447884.840706788
폐업,3,폐업,2001-03-08,서울특별시 용산구 이태원동 457-6번지 ,,비목,한식,198921.378490982,448014.911897576
폐업,3,폐업,2000-07-31,서울특별시 용산구 청파동2가 66-8번지 외3필지 ,,오렌지로드,경양식,197015.424581541,449186.881724665
폐업,3,폐업,2011-04-27,서울특별시 용산구 한남동 683-142번지 (지상1/2층) ,,아리랑,경양식,199942.346001229,448205.77922017
폐업,3,폐업,2009-06-10,서울특별시 용산구 이태원동 21-3번지 (지하1층) ,,쿰,경양식,199525.784740041,447680.995740575
폐업,3,폐업,2010-05-24,서울특별시 용산구 이태원동 127-27번지 (지상3층) ,,코코,경양식,199417.465309676,447987.696245695
폐업,3,폐업,2011-11-01,서울특별시 용산구 이태원동 126-24번지 (지상1층) ,,다리집,경양식,199616.965718071,447998.995612392
폐업,3,폐업,2016-10-06,서울특별시 용산구 후암동 105-109번지 ,서울특별시 용산구 후암로13길 4 (후암동),병천가마솥순대국,한식,197952.460311787,449526.738877179
폐업,3,폐업,2006-08-02,서울특별시 용산구 청파동2가 71-90번지 ,,국빈,중국식,197072.710882649,449179.754064936
폐업,3,폐업,2019-12-30,서울특별시 용산구 후암동 445-1번지 (지하1층) ,서울특별시 용산구 소월로2길 17 (후암동),청록원,중국식,197872.544956653,450220.364745461
폐업,3,폐업,2000-04-12,서울특별시 용산구 이태원동 260-169번지 ,,영수집,분식,199216.466246624,448752.686364144
폐업,3,폐업,2003-11-17,서울특별시 용산구 청파동3가 24-50번지 ,,파레스,분식,197306.468495365,449094.612837775
폐업,3,폐업,2007-03-12,서울특별시 용산구 한남동 657-204번지 (지상2층) ,,뻐꾸기,한식,200473.961621082,447954.437507766
폐업,3,폐업,2009-09-02,서울특별시 용산구 한남동 657-95번지 지하 ,,한남식당,한식,200473.381035472,447965.743065212
폐업,3,폐업,2002-02-20,서울특별시 용산구 한남동 795-2번지 ,,시골집,한식,200167.678243408,448907.406473211
폐업,3,폐업,2000-04-14,서울특별시 용산구 이태원동 119-28번지 ,,삼보정,한식,199271.310049481,448067.38126237
폐업,3,폐업,2011-03-15,서울특별시 용산구 이태원동 74-33번지 (지상1층) ,,한사발,한식,199240.957931113,447951.035213547
폐업,3,폐업,2000-10-23,서울특별시 용산구 후암동 94-1번지 ,,서울식당,한식,197863.984807603,449973.398970888
폐업,3,폐업,2000-02-07,서울특별시 용산구 이태원동 136-42번지 ,,북경원,한식,199579.033443384,447934.291265413
폐업,3,폐업,2013-11-04,서울특별시 용산구 이태원동 22-22번지 청화상가1층 ,,한일회관,한식,199388.053594061,447672.538967019
폐업,3,폐업,2007-05-25,서울특별시 용산구 청파동3가 24-45번지 (지하1층) ,,창,한식,197295.658078644,449099.646875153
폐업,3,폐업,2000-07-07,서울특별시 용산구 이태원동 126-15번지 ,,샘스네집,경양식,199562.755451973,447997.661774591
폐업,3,폐업,2001-01-17,서울특별시 용산구 청파동3가 109-7번지 ,,니꼴,한식,197098.572930746,449144.530458192
폐업,3,폐업,2002-03-06,서울특별시 용산구 한남동 273-3번지 ,,바아로마,한식,200751.839771325,447965.93957677
폐업,3,폐업,2006-05-25,서울특별시 용산구 청파동2가 71-74번지 ,,술의나라,경양식,197155.815135813,449153.427931624
영업/정상,1,영업,,서울특별시 용산구 청파동2가 55-1번지 ,서울특별시 용산구 청파로47길 82 (청파동2가),포라임,경양식,196920.745916732,449209.513689564
폐업,3,폐업,2005-12-05,서울특별시 용산구 이태원동 126-7번지 ,,캐피탈,한식,199602.998335774,448000.622353627
폐업,3,폐업,2006-08-28,서울특별시 용산구 청파동2가 71-19번지 ,,주몽,경양식,197117.183983553,449174.869494029
폐업,3,폐업,2000-12-22,서울특별시 용산구 한남동 68-29번지 ,,자유시간,경양식,200740.35198837,448080.803370231
폐업,3,폐업,2012-01-03,서울특별시 용산구 후암동 27-13번지 (지상1층) ,,트윈라이트,한식,197929.253754758,449826.315435271
폐업,3,폐업,2007-03-23,서울특별시 용산구 이태원동 129-6번지 (지상1층) ,,진용이네왕족발,한식,199356.169463092,447909.077735246
영업/정상,1,영업,,서울특별시 용산구 한남동 96-4번지 (지상1층) ,서울특별시 용산구 독서당로 38 (한남동),또또와식당,분식,,
폐업,3,폐업,2010-08-20,서울특별시 용산구 청파동2가 53-0번지 (지상1층) ,,종로김밥,분식,196874.457628785,449227.875133061
폐업,3,폐업,2001-12-19,서울특별시 용산구 이태원동 274-3번지 ,,소양강,한식,198904.153732462,448532.743776153
폐업,3,폐업,2007-08-01,서울특별시 용산구 효창동 243-3번지 (지상1층) ,,용마식당,한식,196436.197948841,448584.449519784
폐업,3,폐업,2000-06-20,서울특별시 용산구 이태원동 5-7번지 ,,우성갈비점,한식,199441.644528856,448707.378838218
폐업,3,폐업,2001-03-08,서울특별시 용산구 이태원동 5-2번지 ,,상도,한식,199498.054130095,448703.12050184
폐업,3,폐업,2000-05-25,서울특별시 용산구 이태원동 36-23번지 ,,영남식당,한식,199195.235679324,447633.288669265
